,Title,Desc_of_movies
0,10 Cloverfield Lane ," After breaking up with her fiancé, a woman has an accident and wakes up in a bunker with a man who convinces her there's been an apocalyptic event."
1,10 Days in Sun City ,"After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa."
2,10 jours en or ,"When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives."
3,100 Days Of Solitude (100 días de soledad) ,"Spanish photographer José Díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings."
4,100 Metros ,"A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help."
5,الف مبروك (1000 Mabrouk) ,"On his wedding day, an arrogant, greedy accountant experiences a series of calamities that keep replaying as he lives the same day over and over again."
6,1000 Rupee Note ,"After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly."
7,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared ,"In need of money, an eccentric ex-spy and his younger octogenarian partner embark on an international quest for a valuable Soviet soda formula."
8,12 Gifts of Christmas ,"When a starving artist finds work as a personal shopper, she meets a stressed adman who becomes sold on more than her ability to buy holiday presents."
9,12 Monkeys ," In the year 2035, a convict volunteers to travel back in time to determine the origin of a deadly virus that wiped out the population decades earlier."
10,12 Rounds 3: Lockdown ,Detective John Shaw finds himself hunted by his fellow officers after he uncovers evidence linking his ex-partner to the murder of a drug dealer.
11,122 ,"After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape -- before death finds them."
12,13 Going on 30 ," When a geeky teen's birthday party goes awry and she makes a wish that she could be 30, she wakes up to discover she's flash-forwarded 17 years."
13,13 Hours: The Secret Soldiers of Benghazi ," Members of an elite security team battle to save the lives of trapped U.S. Consulate personnel under attack by armed terrorists in Benghazi, Libya."
14,13TH ,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom."
